Comment,Platform,Untested,category,name,url,description,author,submissionDate,repo,featured,language,authorUrl
,Web,1 Star,creativeApps,Sirius Cybernetics Elevator Challenge,https://sirius-cybernetics.pollinations.ai/,A Hitchhiker's Guide to the Galaxy themed LLM-based elevator game.,@thomash_pollinations,,https://github.com/voodoohop/sirius-cybernetics-elevator-challenge,,,
,Web,1 Star,creativeApps,AI PPT Maker,https://sites.google.com/view/kushai,Create AI-powered presentations using Pollinations' API.,@k_ush,,,,,
,"Web, NSFW",1 Star,creativeApps,Herramientas IA,https://proyectodescartes.org/descartescms/herramientas-ia,"Tools designed with Pollinations.AI and the DescartesJS editor, including tools from other Pollinations.AI community members.",@juanrivera126,3/10/2025,,,,
,Web,1 Star,creativeApps,StoryMagic: Interactive Kids Stories,https://storyai-wizard.vercel.app,"An interactive web application designed to create engaging and customizable stories for children. Users can generate creative narratives with personalized settings, characters, and themes. The project leverages AI to enhance storytelling with text generation, dynamic visuals, and interactive features.",@_dr_misterio_,3/14/2025,,,,
,Web,1 Star,creativeApps,Riffle,https://riffle.ink,"A powerful tool designed to make reading English books more enjoyable and effective while helping you build your vocabulary naturally. Using Pollinations AI to create content that incorporates your own vocabulary words allows you to learn them in a vivid, engaging context.",gsx123@gmail.com,3/28/2025,,,,
,Web,1 Star,creativeApps,Elixpo Art,https://elixpoart.vercel.app,"A Web interface to create thematic images from prompts, with multiple aspect ratios and also image reference inputs.",Ayushman Bhattacharya,3/31/2025,https://github.com/Circuit-Overtime/elixpo_ai_chapter,,,
,Tool,Untested,creativeApps,MIDIjourney,https://github.com/korus-labs/MIDIjourney,An AI-powered plugin for Ableton Live that turns text descriptions into music.,KORUS Labs,,,,,
,Tool,Untested,creativeApps,Infinite Tales,https://infinite-tales-rpg.vercel.app/,"A Choose Your Own Adventure RPG, dynamically narrated by AI.",JayJayBinks,,https://github.com/JayJayBinks/infinite-tales-rpg,,,
,Tool,Untested,creativeApps,StorySight,https://github.com/abiral-manandhar/storySight,An app to help children with learning disabilities.,,,,,,
lots of stars,Tool,Untested,creativeApps,Pollinations Gallery,https://deng-xian-sheng.github.io/pollinations-img-page/,A clean and simple gallery showcasing community's AI-generated images.,@deng-xian-sheng,,,,,
,Tool,Untested,creativeApps,image1gen,https://image1gen.streamlit.app/,Website to easily create images via pollinations.ai API.,@oopshnik,2/22/2025,https://github.com/oopshnik/image1gen,,,
,Web,Buggy,creativeApps,Musify - AI Enhanced Music Streaming,https://musify-sd.vercel.app/,"Musify is your AI-powered music buddy, making your jam sessions smarter and more fun. It is powered by pollinations api, it offers a slick and intuitive music experience with features like AI Music Assistant, Voice Commands, AI Playlist Creator, and Responsive Design.",@Sugamdeol,2/27/2025,,,,
,"Tool, Web",Buggy,creativeApps,AI儿童故事 🇨🇳,https://kidss.netlify.app/,"基于此项目 构建有趣的孩子故事书应用演示 (Based on this project, build an interesting children's storybook application demo)",MZ,3/10/2025,,,zh-CN,
,,Untested,creativeApps,Jenny AI,https://jenny-two.vercel.app/,Jenny AI is an AI chatbot and character creation platform with tts and sst it also has image generation and vision ability which are powered by pollinations.,https://www.linkedin.com/in/pritam-roy-95185328a,3/16/2025,,,,
,Tool,Untested,creativeApps,Podcast #1500,https://open.spotify.com/show/1wu4ngb1dclyTwoNN4cZzK,"Podcast project powered by pollinations, featuring dialogues among LLMs. First episode features 3o-mini and DeepSeek R1 70B talking about Vibe Coding.",@brain.diver,3/31/2025,,,,
,Tool,Untested,creativeApps,LAHGen,https://image.aixboost.com/,"An advanced AI-driven text-to-image generation platform designed to provide users with high-quality and realistic AI-generated images based on textual prompts. The platform allows users to generate unlimited AI images for free, leveraging cutting-edge AI models to produce stunning visual outputs in various artistic styles.",working7816@gmail.com,3/31/2025,,,,
,,Untested,creativeApps,🆕 MalaysiaPrompt 🇲🇾,https://malaysiaprompt.rf.gd/,"A free and fun platform for creating unique AI-generated images. No fancy skills needed – just your ideas and a few clicks to bring them to life. Features image generation, text-to-prompt conversion, and image-to-text capabilities.",@enciksnow,4/15/2025,,,ms-MY,https://x.com/enciksnow
,,,creativeApps,🆕 BlackWave,https://blackwave.studio/,"An AI image generator that creates unique images from text prompts. Fast, easy and free!",@metimol,4/19/2025,,,,
,,,creativeApps,🆕 RuangRiung AI Image 🇮🇩,https://ruangriung.my.id,"RuangRiung AI Image Generator ideal untuk seniman digital, desainer, atau siapa pun yang ingin mengeksplorasi kreativitas dengan bantuan AI. Tersedia dalam bahasa Inggris dan Indonesia, website ini menggabungkan fungsionalitas lengkap dengan desain yang elegan dan responsif. (RuangRiung AI Image Generator is ideal for digital artists, designers, or anyone who wants to explore creativity with AI assistance. Available in English and Indonesian, this website combines complete functionality with an elegant and responsive design.)",@ruangriung,4/20/2025,https://github.com/ruangriung,,id-ID,
,,,creativeApps,🆕 ImageGen AI Image,https://imagegen.narendradwivedi.org,A web application that utilizes Pollinations.AI API to generate images based on user-defined descriptions with features like prompt enhancement customizable image settings and image download.,https://www.linkedin.com/in/narendradwivedi,4/22/2025,,,,
,Web,3 Stars,toolsInterfaces,🆕 Echo AI,https://3ch0ai.github.io/EchoAI,"An HTML-based chat interface that leverages Pollinations AI as its core engine for both text and image generation, featuring user authentication, streaming responses, and plan management.",@3ch0AI,4/28/2025,https://github.com/3ch0AI/EchoAI,TRUE,,
,Web,3 Stars,toolsInterfaces,🆕 Pollinations.ai Enhancer,https://greasyfork.org/en/scripts/534183-pollinations-ai-enhancer,"Enhances the user experience on pollinations.ai pages by improving content readability, adding convenient download options, and providing easy access to generation metadata.",@fisven,4/27/2025,https://github.com/fisventurous/pollinationsai-enhancer,TRUE,,
,Web,3 Stars,toolsInterfaces,🆕 Pollinations.DIY,https://pollinations.diy,"A browser-based coding environment based on bolt.diy, featuring integrated Pollinations AI services, visual code editing, and project management tools.",@thomash_pollinations,,https://github.com/pollinations/pollinations.diy,TRUE,,
,Web,3 Stars,toolsInterfaces,Pal Chat,https://apps.apple.com/us/app/pal-chat-ai-chat-client/id6447545085?platform=iphone,An iOS app that integrates with all LLMs including Pollinations AI models in one unified simple interface.,https://x.com/pallavmac,,,TRUE,,
,Web,3 Stars,toolsInterfaces,Pollinator Android App,https://github.com/g-aggarwal/Pollinator,An open-source Android app for text-to-image generation.,@gaurav_87680,,,TRUE,,
,Web,3 Stars,toolsInterfaces,Elixpo-Art,https://elixpoart.vercel.app,A web interface for easy image generation with theme selection.,Ayushman Bhattacharya,,,TRUE,,
,Web,3 Stars,toolsInterfaces,Elixpo Art Chrome Extension,https://chromewebstore.google.com/detail/elixpo-art-select-text-an/hcjdeknbbbllfllddkbacfgehddpnhdh,It uses the pollinations image endpoint to generate an image with `boltning` as the model in 4 types of aspect ratios and themes with prompt engineering thus transforming selected texts into art smoothly with a disposable GUI in web.,Ayushman Bhatacharya,3/14/2025,https://github.com/Circuit-Overtime/elixpo_ai_chapter/tree/main/Elixpo%20Chrome%20%20Extension,TRUE,,
,"iOS, Android",3 Stars,toolsInterfaces,VibeCoder,https://vibecoderbyaashir.netlify.app/,"A web app for coding with vibes, created using Pollinations.AI Open Source API without coding syntax.",@Aashir__Shaikh,3/25/2025,,TRUE,,https://x.com/Aashir__Shaikh
,Web,3 Stars,toolsInterfaces,Imagen,https://altkriz.github.io/imagen/,"A beautiful web interface for generating images using Pollinations.ai API with only the ""flux"" and ""turbo"" models.",@altkriz,4/13/2025,https://github.com/altkriz/imagen,TRUE,,
,Web,3 Stars,toolsInterfaces,🆕 B&W SVG Generator,https://fluxsvggenerator.streamlit.app/,Uses Flux (through pollinations) and potrace to create B&W Vector files,@pointsguy118,4/15/2025,,TRUE,,
,Web,2 Stars,toolsInterfaces,Image Gen - Uncensored Edition,https://huggingface.co/chat/assistant/66fccce0c0fafc94ab557ef2,A powerful image generation assistant on HuggingChat.,@DeFactOfficial,,,,,
,Web,1 Star,toolsInterfaces,JustBuildThings,https://justbuildthings.com,"A collection of AI tools for image generation, character chat, and writing.",rasit,,,,,
,Web,1 Star,toolsInterfaces,🆕 NetSim,https://netsim.us.to/,websim.ai clone that's actually good,@kennet678,4/15/2025,,,,
,Android,Untested,toolsInterfaces,Own-AI,https://own-ai.pages.dev/,An AI text-to-image generator.,Sujal Goswami,,,,,
,,Untested,toolsInterfaces,Free AI Chatbot & Image Generator,https://freeaichat.app,A mobile app for unlimited AI chat and image generation.,@andreas_11,,,,,
,,Untested,toolsInterfaces,JCode Website Builder,https://jcode-ai-website-bulder.netlify.app/,A website generator using Pollinations text API.,@rtxpower,,,,,
,,Untested,toolsInterfaces,Server Status Dashboards,https://www.ai-ministries.com/serverstatus.html,Real-time monitoring dashboards for Pollinations text and image servers.,@tolerantone,,,,,
,,Untested,toolsInterfaces,Websim,https://websim.ai/c/bXsmNE96e3op5rtUS,A web simulation tool that integrates Pollinations.ai.,@thomash,,,,,
,Telegram,Buggy,toolsInterfaces,Anime AI Generation,https://www.animeaigeneration.com/,Create professional-quality anime characters with powerful AI technology. No artistic skills required.,@shreyas281898,2/11/2025,,,,
,Web,Buggy,toolsInterfaces,Pollinations.ai Model Comparison,https://endemicmedia.github.io/FLARE/llm-comparison-tool/,An interactive tool designed to compare outputs from various large language models with customizable timeout settings and real-time testing capabilities.,https://github.com/dseeker,2/16/2025,https://github.com/EndemicMedia,,,
,Tool,Untested,toolsInterfaces,Pollinations Feed,https://elixpoart.vercel.app/src/feed,"Builds a bentro grid UI which integrates with the pollinations realtime SSE feed to show case art generation, with virtual DOM update to reduce lag and optimization.",Ayushman Bhattacharya,3/14/2025,https://github.com/Circuit-Overtime/elixpo_ai_chapter,,,
,Tool,Untested,toolsInterfaces,toai.chat,https://toai.chat,"An AI chat service that operates exclusively via Curl commands, specifically designed for users working in terminal environments without the need for a standalone AI client.",kevin@kevin1986.com,3/27/2025,https://github.com/Veallym0n/toai.chat,,,
,Tool,Untested,toolsInterfaces,DominiSigns,,"Avatar Translator for Dominican Sign Language that uses artificial intelligence to translate text and audio into Dominican sign language (LSRD), creating a communication bridge for approximately 100,000 deaf people in the Dominican Republic.",@cmunozdev,4/6/2025,https://github.com/cmunozdev/DominiSigns,,,
,Discord,3 Stars,socialBots,Titan-GPT,https://t.me/titangpt_channel,Free Telegram bot providing access to neural networks including image and text generation powered by Pollinations.AI,t.me/titangpt_support,,,TRUE,,
,Web,3 Stars,socialBots,Telegram Bot,http://t.me/pollinationsbot,A Telegram bot for generating images based on user prompts.,Wong Wei Hao,,,TRUE,,
,iOS,3 Stars,socialBots,WhatsApp Group,https://chat.whatsapp.com/KI37JqT5aYdL9WBYMyyjDV,A WhatsApp group for image generation.,@dg_karma,,,TRUE,,
,Web,3 Stars,socialBots,🤖 pollinations-tg-bot 🇨🇳,https://t.me/AipolBot,"A Telegram bot deployed on Cloudflare Workers that allows users to generate images, convert text to speech, transcribe voice messages, chat with AI models, and more through the Pollinations API.",@Shadownc,3/27/2025,https://github.com/Shadownc/pollinations-tg-bot,TRUE,zh-CN,
,Web,2 Stars,socialBots,AlphaLLM - AI Discord Bot,https://alphallm.fr.nf,"Discord bot that uses several APIs (Pollinations AI and Cerebras AI), to offer a variety of features, including advanced text generation with a history of your conversations, image and voice generation.",@the_yerminator,3/31/2025,https://github.com/YoannDev90/AlphaLLM,,,
,Web,2 Stars,socialBots,🆕 🤖 Raftar.xyz,https://raftar.xyz,"A Discord multi-purpose bot with over 100+ commands, including AI image generation, ChatGPT, and SearchGPT powered by Pollinations.AI.",@goodgamerhere,4/15/2025,,,,
,Web,1 Star,socialBots,Anyai,https://discord.gg/anyai,A Discord bot and community for AI-driven content.,@meow_18838,,,,,
,Android,Untested,socialBots,OpenHive,https://discord.gg/Zv3SXTF5xy,"A Discord server bridging Discord and AI, featuring Beebot.",@creativegpt,,,,,
,Web,Buggy,socialBots,One Word,https://t.me/OdnoSlovoBot,"A Telegram bot for a word-matching game where players try to write the same word simultaneously, featuring image generation from game words using Pollinations.AI.",@Dimaq21,2/17/2025,,,,
image not appearing,Web,Buggy,socialBots,Gacha,https://shapes.inc/gacha-gachu/public,"A versatile AI chat-bot and image generator powered by Pollinations.AI, featuring web search, image generation with model selection, and character-aware image generation through !webgen command.",@_dr_misterio_,2/24/2025,,,,
no link,,Untested,socialBots,Jackey,https://discord.com/oauth2/authorize?client_id=1214916249222643752,"A Discord Bot that integrates with the pollination image generation api to generate images in various themes, numbers, ratios and models",@elixpo.asm,3/15/2025,,,,
,Discord,3 Stars,sdkLibraries,@pollinations/react,https://www.npmjs.com/package/@pollinations/react,React hooks for easy integration of Pollinations' features.,@pollinations,,,TRUE,,
,WhatsApp,3 Stars,sdkLibraries,pollinations.ai Python SDK,https://github.com/pollinations-ai/pollinations.ai,Official Python SDK for working with Pollinations' models.,@pollinations-ai,,,TRUE,,
,Web,3 Stars,sdkLibraries,MCPollinations,https://github.com/pinkpixel-dev/MCPollinations,"A Model Context Protocol (MCP) server that enables AI assistants to generate images, text, and audio through the Pollinations APIs. Supports customizable parameters, image saving, and multiple model options.",Pink Pixel,4/13/2025,https://github.com/pinkpixel-dev/MCPollinations,TRUE,,
,Web,3 Stars,sdkLibraries,🆕 Smpldev,https://smpldev.ftp.sh/,"Create, deploy, and scale full-stack web and mobile applications in minutes.",@kennet678,4/15/2025,,TRUE,,
,Web,2 Stars,sdkLibraries,Node.js Client Library,https://www.npmjs.com/package/pollinationsai,"A TypeScript/Node.js client for accessing Pollinations AI services including image generation, text processing, and speech synthesis. Features full TypeScript typings, dual CJS/ESM module support, 100% test coverage and feed/streams support, builder pattern API and axios-based HTTP client implementation.",@fqueis,3/14/2025,https://github.com/fqueis/pollinationsai,,,
weird to have pollinations.ai again on github,,Untested,sdkLibraries,pollinations NPM Module,https://www.npmjs.com/package/pollinations,A Node.js package for accessing all Pollinations features.,@maxencexz,,,,,
in russian,Telegram,Untested,sdkLibraries,pypollinations,https://pypi.org/project/pypollinations/,Comprehensive Python wrapper for Pollinations AI API.,@KTS-o7,,,,,
,Web,Buggy,sdkLibraries,ComfyUI-Pollinations,https://github.com/1038lab/ComfyUI-Pollinations,"A custom node for ComfyUI that utilizes the Pollinations API to generate images and text based on user prompts, supporting multiple image and text generation models.",https://github.com/1038lab/,3/4/2025,https://github.com/1038lab/ComfyUI-Pollinations,,,
category?,Tool,Untested,sdkLibraries,pollinations_ai,https://pub.dev/packages/pollinations_ai,"A Flutter/Dart SDK package for accessing all features of pollinations.ai including text generation, image generation, audio, and listing all supported models.",@Meenapintu,3/31/2025,https://github.com/yehigo/pollinations.ai,,,
,Web,3 Stars,tutorials,🆕 Pollinations.AI AI/Teens talk,https://www.youtube.com/live/5Rvdfr2qYGA?si=i5NLOKI49fGxNAEK&t=1034,"Session 2: ai/teens worldwide conference exploring the forces shaping AI today, diving into governance, virtual connections, and decision-making with voices from multiple European cities.",@thomash_pollinations,4/15/2025,,TRUE,,
,Web,2 Stars,tutorials,Artistic Styles Book,https://proyectodescartes.org/iCartesiLibri/materiales_didacticos/Libro_Estilos/index.html,An interactive book showcasing 90+ artistic styles.,Juan Gmo. Rivera,,,,,
,Web,2 Stars,tutorials,Chinese DeepSeek Tutorial,https://linux.do/t/topic/447840/235,A tutorial showing how to make DeepSeek AI support image generation by leveraging Pollinations.ai's API.,https://linux.do/u/isinry,3/4/2025,,,,
,Web,1 Star,tutorials,Proyecto Descartes,https://proyectodescartes.org/revista/Numeros/Revista_8_2024/index.html,Educational initiative integrating Pollinations AI into STEM.,Juan Gmo. Rivera,,,,,
,Web,1 Star,tutorials,Tutorial,https://guiadehospedagem.com.br/pollinations-ai/,An in-depth Portuguese tutorial on using Pollinations AI.,Janderson de Sales,,,,,
,Web,Buggy,tutorials,Apple Shortcuts Guide,https://www.youtube.com/watch?v=-bS41VTzh_s,Video guide on creating AI images using Apple Shortcuts.,RoutineHub,,,,,
